NO,PROVINSI,KOTA/KABUPATEN,ONGKIR / Juta (MEJA 9 FT)
1,Aceh Darussalam,Kota Banda Aceh,"4,5 - 5 JT"
,,Kota Langsa,"4,5 - 5 JT"
,,Kota Lhokseumawe,"4,5 - 5 JT"
,,Kota Sabang,6 - 7 JT
,,Kota Subulussalam,"4,5 - 5 JT"
,,Kab. Aceh Barat,6 - 7 JT
,,Kab. Aceh Barat Daya,"4,5 - 5 JT"
,,Kab. Aceh Besar,"4,5 - 5 JT"
,,Kab. Aceh Jaya,5 - 6 JT
,,Kab. Aceh Selatan,"4,5 - 5 JT"
,,Kab. Aceh Singkil,"4,5 - 5 JT"
,,Kab. Aceh Tamiang,5 - 6 JT
,,Kab. Aceh Tengah,5 - 6 JT
,,Kab. Aceh Tenggara,5 - 6 JT
,,Kab. Aceh Timur,5 - 6 JT
,,Kab. Aceh Utara,5 - 6 JT
,,Kab. Bener Meriah,5 - 6 JT
,,Kab. Bireuen,5 - 6 JT
,,Kab. Gayo Luwes,5 - 6 JT
,,Kab. Nagan Raya,5 - 6 JT
,,Kab. Pidie,5 - 6 JT
,,Kab. Pidie Jaya,5 - 6 JT
2,Sumatra Utara,Kab. Asahan,"4,5 - 5 JT"
,,Kab. Batu Bara,"4,5 - 5 JT"
,,Kab. Dairi,"4,5 - 5 JT"
,,Kab. Deli Serdang,"4,5 - 5 JT"
,,Kab. Humbang Hasundutan,5 - 6 JT
,,Kab. Karo,5 - 6 JT
,,Kab. Labuhanbatu,"4,5 - 5 JT"
,,Kab. Labuhanbatu Selatan,"4,5 - 5 JT"
,,Kab. Labuhanbatu Utara,"4,5 - 5 JT"
,,Kab. Langkat,"4,5 - 5 JT"
,,Kab. Mandailing Natal,5 - 6 JT
,,Kab. Nias,"8 - 8,5 JT"
,,Kab. Nias Barat,"8 - 8,5 JT"
,,Kab. Nias Selatan,"8 - 8,5 JT"
,,Kab. Nias Utara,"8 - 8,5 JT"
,,Kab. Padang Lawas,"4,5 - 5 JT"
,,Kab. Padang Lawas Utara,"4,5 - 5 JT"
,,Kab. Pakpak Bharat,5 - 6 JT
,,Kab. Samosir,5 - 6 JT
,,Kab. Serdang Bedagai,"4,5 - 5 JT"
,,Kab. Simalungun,5 - 6 JT
,,Kab. Simeulue,"8 - 8,5 JT"
,,Kab. Tapanuli Selatan,5 - 6 JT
,,Kab. Tapanuli Tengah,5 - 6 JT
,,Kab. Tapanuli Utara,5 - 6 JT
,,Kab. Toba,5 - 6 JT
,,Kota Binjai,"4,5 - 5 JT"
,,Kota Gunung Sitoli,"8 - 8,5 JT"
,,Kota Medan,"4,5 - 5 JT"
,,Kota Padangsidimpuan,"4,5 - 5 JT"
,,Kota Pematangsiantar,"4,5 - 5 JT"
,,Kota Sibolga,"4,5 - 5 JT"
,,Kota Tanjungbalai,"4,5 - 5 JT"
,,Kota Tebing Tinggi,"3,8 - 4,5 JT"
3,Sumatra Selatan,Kab. Banyuasin,"4,5 - 5 JT"
,,Kab. Empat Lawang,"4,5 - 5 JT"
,,Kab. Lahat,"4,5 - 5 JT"
,,Kab. Muara Enim,"4,5 - 5 JT"
,,Kab. Musi Banyuasin,"4,5 - 5 JT"
,,Kab. Musi Rawas,"4,5 - 5 JT"
